yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,total_player_salaries,med_player_salary,min_player_salary,max_player_salary,salary_var,Salary Rank,Threshold,over_threshold,times_over_threshold
1985,NL,NYN,NYM,E,2,162,81.0,98,64,N,,N,N,695,5549,1425,239,35,134,546,872.0,117.0,53.0,,,568,514,3.11,32,19,37,4464,1306,111,515,1039,115,138.0,0.98,New York Mets,Shea Stadium,2761601.0,99,97,NYM,NYN,NYN,10834762,325000.0,60000,2028571,297326739764.2476,11,0.0,0,0
1985,AL,OAK,OAK,W,4,162,79.0,77,85,N,,N,N,757,5581,1475,230,34,155,508,861.0,117.0,58.0,,,787,712,4.41,10,6,41,4359,1451,172,607,785,140,137.0,0.97,Oakland Athletics,Oakland Coliseum,1334599.0,92,92,OAK,OAK,OAK,9058606,350000.0,60000,1087500,84902416114.76189,19,0.0,0,0
1985,NL,PHI,PHI,E,5,162,81.0,75,87,N,,N,N,667,5477,1343,238,47,141,527,1095.0,122.0,51.0,,,673,592,3.68,24,9,30,4341,1424,115,596,899,139,142.0,0.97,Philadelphia Phillies,Veterans Stadium,1830350.0,103,103,PHI,PHI,PHI,10124966,350000.0,60000,2130300,242273419557.386,13,0.0,0,0
1985,NL,PIT,PIT,E,6,161,80.0,57,104,N,,N,N,568,5436,1340,251,28,80,514,842.0,110.0,60.0,,,708,637,3.97,15,6,29,4335,1406,107,584,962,133,127.0,0.97,Pittsburgh Pirates,Three Rivers Stadium,735900.0,99,100,PIT,PIT,PIT,9227500,425000.0,60000,1075000,115496551647.21051,18,0.0,0,0
1985,NL,SDN,SDP,W,3,162,81.0,83,79,N,,N,N,650,5507,1405,241,28,109,513,809.0,60.0,39.0,,,622,548,3.4,26,19,44,4353,1399,127,443,727,124,158.0,0.98,San Diego Padres,Jack Murphy Stadium,2210352.0,99,99,SDP,SDN,SDN,11036583,332500.0,130000,1713333,179210080897.55194,8,0.0,0,0
1985,AL,SEA,SEA,W,6,162,83.0,74,88,N,,N,N,719,5521,1410,277,38,171,564,942.0,94.0,35.0,,,818,745,4.68,23,8,30,4296,1456,154,637,868,122,156.0,0.98,Seattle Mariners,Kingdome,1128696.0,100,101,SEA,SEA,SEA,4613000,204000.0,71600,690000,25237060653.59477,26,0.0,0,0
1985,NL,SFN,SFG,W,6,162,81.0,62,100,N,,N,N,556,5420,1263,217,31,115,488,962.0,99.0,55.0,,,674,581,3.61,13,5,24,4344,1348,125,572,985,144,134.0,0.97,San Francisco Giants,Candlestick Park,818697.0,95,96,SFG,SFN,SFN,8221714,365000.0,60000,900000,65697968784.536865,22,0.0,0,0
1985,NL,SLN,STL,E,1,162,81.0,101,61,Y,,Y,N,747,5467,1446,245,59,87,586,853.0,314.0,96.0,,,572,504,3.1,37,20,44,4392,1343,98,453,798,108,166.0,0.98,St. Louis Cardinals,Busch Stadium II,2637563.0,100,99,STL,SLN,SLN,11817083,457500.0,60000,1555000,167531913593.06,5,0.0,0,0
1985,AL,TEX,TEX,W,7,161,80.0,62,99,N,,N,N,617,5361,1359,213,41,129,530,819.0,130.0,76.0,,,785,715,4.56,18,5,33,4233,1479,173,501,863,119,145.0,0.98,Texas Rangers,Arlington Stadium,1112497.0,101,102,TEX,TEX,TEX,7676500,347000.0,60000,720000,45298605014.63158,23,0.0,0,0
1985,AL,TOR,TOR,E,1,161,80.0,99,62,Y,,N,N,759,5508,1482,281,53,158,503,807.0,144.0,77.0,,,588,533,3.31,18,9,47,4344,1312,147,484,823,125,164.0,0.98,Toronto Blue Jays,Exhibition Stadium,2468925.0,104,103,TOR,TOR,TOR,8812550,353150.0,60000,1000000,75821511323.84209,20,0.0,0,0
